[09:35:08] STARTING DAILY DISTRIBUTION PROTOCOL_
[09:35:08] ROI_CREDIT: UID 5 | Inv 2 | Amount 12.5
[09:35:10] ROI_CREDIT: UID 492 | Inv 147 | Amount 12.5
[09:35:10] ROI_CREDIT: UID 28 | Inv 148 | Amount 31.25
[09:35:10] ROI_CREDIT: UID 28 | Inv 151 | Amount 5
[09:35:10] ROI_CREDIT: UID 502 | Inv 152 | Amount 31.25
[09:35:10] ROI_CREDIT: UID 505 | Inv 153 | Amount 50
[09:35:10] ROI_CREDIT: UID 5 | Inv 154 | Amount 27.77777778
[09:35:10] ROI_CREDIT: UID 505 | Inv 156 | Amount 50
[09:35:10] ROI_CREDIT: UID 5 | Inv 157 | Amount 3.33333333
[09:35:10] ROI_CREDIT: UID 5 | Inv 158 | Amount 3.33333333
[09:35:10] ROI_CREDIT: UID 5 | Inv 159 | Amount 3.33333333
[09:35:10] ROI_CREDIT: UID 5 | Inv 160 | Amount 3.33333333
[09:35:10] ROI_CREDIT: UID 5 | Inv 161 | Amount 3.33333333
[09:35:10] ROI_CREDIT: UID 97 | Inv 163 | Amount 3.33333333
[09:35:10] ROI_CREDIT: UID 523 | Inv 184 | Amount 71.42857143
[09:35:10] ROI_CREDIT: UID 5 | Inv 185 | Amount 122.22222222
[09:35:10] ROI_CREDIT: UID 13 | Inv 189 | Amount 5
[09:35:10] ROI_CREDIT: UID 13 | Inv 190 | Amount 31.25
[09:35:10] ROI_CREDIT: UID 521 | Inv 192 | Amount 27.77777778
[09:35:10] ROI_CREDIT: UID 31 | Inv 193 | Amount 5
[09:35:10] ROI_CREDIT: UID 524 | Inv 194 | Amount 5
[09:35:10] ROI_CREDIT: UID 525 | Inv 195 | Amount 5
[09:35:10] ROI_CREDIT: UID 534 | Inv 196 | Amount 5
[09:35:10] ROI_CREDIT: UID 92 | Inv 197 | Amount 12.5
[09:35:10] ROI_CREDIT: UID 502 | Inv 200 | Amount 5
[09:35:10] ROI_CREDIT: UID 542 | Inv 201 | Amount 5
[09:35:10] ROI_CREDIT: UID 5 | Inv 202 | Amount 12.5
[09:35:10] ROI_CREDIT: UID 5 | Inv 203 | Amount 41.66666667
[09:35:10] ROI_CREDIT: UID 5 | Inv 204 | Amount 6
[09:35:10] ROI_CREDIT: UID 527 | Inv 206 | Amount 31.25
[09:35:10] ROI_CREDIT: UID 546 | Inv 207 | Amount 5
[09:35:10] ROI_CREDIT: UID 547 | Inv 208 | Amount 5
[09:35:10] ROI_CREDIT: UID 549 | Inv 209 | Amount 5
[09:35:10] ROI_CREDIT: UID 7 | Inv 212 | Amount 240
[09:35:10] ROI_CREDIT: UID 472 | Inv 213 | Amount 12.5
[09:35:10] ROI_CREDIT: UID 9 | Inv 214 | Amount 0.75
[09:35:10] ROI_CREDIT: UID 564 | Inv 215 | Amount 0.75
[09:35:10] ROI_CREDIT: UID 569 | Inv 216 | Amount 11.35
[09:35:10] ROI_CREDIT: UID 547 | Inv 217 | Amount 31.25
[09:35:10] ROI_CREDIT: UID 548 | Inv 218 | Amount 5
[09:35:10] ROI_CREDIT: UID 576 | Inv 219 | Amount 0.375
[09:35:10] ROI_CREDIT: UID 575 | Inv 220 | Amount 5
[09:35:10] ROI_CREDIT: UID 575 | Inv 221 | Amount 5
[09:35:10] ROI_CREDIT: UID 548 | Inv 223 | Amount 0.375
[09:35:10] ROI_CREDIT: UID 585 | Inv 224 | Amount 3.33333333
[09:35:10] ROI_CREDIT: UID 12 | Inv 225 | Amount 83.33333333
[09:35:10] ROI_CREDIT: UID 579 | Inv 226 | Amount 0.75
[09:35:10] ROI_CREDIT: UID 595 | Inv 228 | Amount 498.33887043
[09:35:10] ROI_CREDIT: UID 592 | Inv 229 | Amount 5
[09:35:10] ROI_CREDIT: UID 587 | Inv 230 | Amount 6.66666667
[09:35:10] ROI_CREDIT: UID 573 | Inv 231 | Amount 0.75
[09:35:10] ROI_CREDIT: UID 593 | Inv 232 | Amount 0.75
[09:35:10] ROI_CREDIT: UID 590 | Inv 233 | Amount 0.75
[09:35:10] ROI_CREDIT: UID 600 | Inv 234 | Amount 5
[09:35:10] ROI_CREDIT: UID 591 | Inv 235 | Amount 5
[09:35:10] ROI_CREDIT: UID 580 | Inv 236 | Amount 5
[09:35:10] ROI_CREDIT: UID 602 | Inv 237 | Amount 0.75
[09:35:10] ROI_CREDIT: UID 601 | Inv 238 | Amount 0.75
[09:35:10] ROI_CREDIT: UID 603 | Inv 239 | Amount 5
[09:35:10] ROI_CREDIT: UID 606 | Inv 240 | Amount 5
[09:35:10] ROI_CREDIT: UID 607 | Inv 241 | Amount 5
[09:35:10] ROI_CREDIT: UID 578 | Inv 242 | Amount 5
[09:35:10] ROI_CREDIT: UID 578 | Inv 243 | Amount 71.42857143
[09:35:11] ROI_CREDIT: UID 588 | Inv 244 | Amount 0.375
[09:35:11] ROI_CREDIT: UID 599 | Inv 245 | Amount 5
[09:35:11] ROI_CREDIT: UID 594 | Inv 246 | Amount 0.75
[09:35:11] ROI_CREDIT: UID 565 | Inv 247 | Amount 5
[09:35:11] ROI_CREDIT: UID 614 | Inv 248 | Amount 5
[09:35:11] ROI_CREDIT: UID 606 | Inv 250 | Amount 5
[09:35:11] ROI_CREDIT: UID 613 | Inv 251 | Amount 5
[09:35:11] ROI_CREDIT: UID 575 | Inv 252 | Amount 5
[09:35:11] ROI_CREDIT: UID 620 | Inv 253 | Amount 5
[09:35:11] ROI_CREDIT: UID 545 | Inv 254 | Amount 3.33333333
[09:35:11] ROI_CREDIT: UID 545 | Inv 255 | Amount 3.33333333
[09:35:11] ROI_CREDIT: UID 502 | Inv 256 | Amount 0.375
[09:35:11] ROI_CREDIT: UID 621 | Inv 257 | Amount 5
[09:35:11] ROI_CREDIT: UID 623 | Inv 258 | Amount 5
[09:35:11] ROI_CREDIT: UID 622 | Inv 259 | Amount 5
[09:35:11] ROI_CREDIT: UID 624 | Inv 260 | Amount 5
[09:35:11] ROI_CREDIT: UID 625 | Inv 261 | Amount 5
[09:35:11] ROI_CREDIT: UID 629 | Inv 262 | Amount 5
[09:35:11] ROI_CREDIT: UID 627 | Inv 263 | Amount 5
[09:35:11] ROI_CREDIT: UID 597 | Inv 264 | Amount 0.75
[09:35:11] ROI_CREDIT: UID 635 | Inv 265 | Amount 5
[09:35:11] ROI_CREDIT: UID 636 | Inv 266 | Amount 5
[09:35:11] ROI_CREDIT: UID 637 | Inv 267 | Amount 0.375
[09:35:11] ROI_CREDIT: UID 14 | Inv 268 | Amount 5
[09:35:11] ROI_CREDIT: UID 640 | Inv 269 | Amount 0.375
[09:35:11] ROI_CREDIT: UID 641 | Inv 270 | Amount 5
[09:35:11] ROI_CREDIT: UID 588 | Inv 271 | Amount 5
[09:35:11] ROI_CREDIT: UID 628 | Inv 272 | Amount 5
[09:35:11] ROI_CREDIT: UID 601 | Inv 274 | Amount 0.756
[09:35:11] ROI_CREDIT: UID 650 | Inv 276 | Amount 5
[09:35:11] ROI_CREDIT: UID 651 | Inv 277 | Amount 5
[09:35:11] ROI_CREDIT: UID 665 | Inv 279 | Amount 5
[09:35:11] ROI_CREDIT: UID 684 | Inv 280 | Amount 5
[09:35:11] ROI_CREDIT: UID 588 | Inv 281 | Amount 5
[09:35:11] ROI_CREDIT: UID 628 | Inv 282 | Amount 5
[09:35:11] ROI_CREDIT: UID 693 | Inv 283 | Amount 5
[09:35:11] ROI_CREDIT: UID 597 | Inv 284 | Amount 0.75
[09:35:11] ROI_CREDIT: UID 691 | Inv 285 | Amount 83.33333333
[09:35:11] ROI_CREDIT: UID 692 | Inv 286 | Amount 5
[09:35:11] ROI_CREDIT: UID 672 | Inv 287 | Amount 5
[09:35:11] ROI_CREDIT: UID 685 | Inv 288 | Amount 5
[09:35:11] ROI_CREDIT: UID 683 | Inv 289 | Amount 5
[09:35:11] ROI_CREDIT: UID 681 | Inv 290 | Amount 5
[09:35:11] ROI_CREDIT: UID 667 | Inv 291 | Amount 5
[09:35:11] ROI_CREDIT: UID 676 | Inv 292 | Amount 5
[09:35:11] ROI_CREDIT: UID 666 | Inv 293 | Amount 5
[09:35:11] ROI_CREDIT: UID 644 | Inv 294 | Amount 5
[09:35:11] ROI_CREDIT: UID 645 | Inv 295 | Amount 5
[09:35:11] ROI_CREDIT: UID 675 | Inv 296 | Amount 5
[09:35:11] ROI_CREDIT: UID 660 | Inv 297 | Amount 5
[09:35:11] ROI_CREDIT: UID 654 | Inv 298 | Amount 5
[09:35:11] ROI_CREDIT: UID 648 | Inv 299 | Amount 5
[09:35:11] ROI_CREDIT: UID 677 | Inv 301 | Amount 5
[09:35:11] ROI_CREDIT: UID 696 | Inv 302 | Amount 5
[09:35:11] ROI_CREDIT: UID 697 | Inv 303 | Amount 5
[09:35:11] ROI_CREDIT: UID 652 | Inv 304 | Amount 5
[09:35:11] ROI_CREDIT: UID 653 | Inv 305 | Amount 5
[09:35:11] ROI_CREDIT: UID 682 | Inv 306 | Amount 5
[09:35:11] ROI_CREDIT: UID 671 | Inv 307 | Amount 5
[09:35:11] ROI_CREDIT: UID 679 | Inv 308 | Amount 5
[09:35:11] ROI_CREDIT: UID 661 | Inv 309 | Amount 5
[09:35:11] ROI_CREDIT: UID 674 | Inv 310 | Amount 5
[09:35:11] ROI_CREDIT: UID 703 | Inv 311 | Amount 5
[09:35:11] ROI_CREDIT: UID 592 | Inv 317 | Amount 0.375
[09:35:11] ROI_CREDIT: UID 639 | Inv 318 | Amount 5
[09:35:11] ROI_CREDIT: UID 704 | Inv 320 | Amount 5
[09:35:11] ROI_CREDIT: UID 587 | Inv 321 | Amount 1.38
[09:35:11] ROI_CREDIT: UID 545 | Inv 322 | Amount 0.675
[09:35:12] ROI_CREDIT: UID 581 | Inv 323 | Amount 0.375
[09:35:12] ROI_CREDIT: UID 502 | Inv 324 | Amount 0.45
[09:35:12] ROI_CREDIT: UID 579 | Inv 325 | Amount 0.6225
[09:35:12] ROI_CREDIT: UID 704 | Inv 326 | Amount 5
[09:35:12] ROI_CREDIT: UID 707 | Inv 327 | Amount 5
[09:35:12] ROI_CREDIT: UID 702 | Inv 328 | Amount 31.25
[09:35:12] ROI_CREDIT: UID 698 | Inv 329 | Amount 31.25
[09:35:12] ROI_CREDIT: UID 702 | Inv 330 | Amount 31.25
[09:35:12] ROI_CREDIT: UID 708 | Inv 331 | Amount 5
[09:35:12] ROI_CREDIT: UID 663 | Inv 332 | Amount 5
[09:35:12] ROI_CREDIT: UID 659 | Inv 333 | Amount 5
[09:35:12] ROI_CREDIT: UID 655 | Inv 334 | Amount 5
[09:35:12] ROI_CREDIT: UID 670 | Inv 335 | Amount 5
[09:35:12] ROI_CREDIT: UID 668 | Inv 336 | Amount 5
[09:35:12] ROI_CREDIT: UID 669 | Inv 337 | Amount 5
[09:35:12] ROI_CREDIT: UID 701 | Inv 338 | Amount 5
[09:35:12] ROI_CREDIT: UID 705 | Inv 339 | Amount 31.25
[09:35:12] ROI_CREDIT: UID 591 | Inv 343 | Amount 0.375
[09:35:12] ROI_CREDIT: UID 723 | Inv 344 | Amount 0.78
[09:35:12] ROI_CREDIT: UID 694 | Inv 348 | Amount 83.33333333
[09:35:12] ROI_CREDIT: UID 582 | Inv 350 | Amount 0.375
[09:35:12] ROI_CREDIT: UID 731 | Inv 352 | Amount 5
[09:35:12] ROI_CREDIT: UID 735 | Inv 353 | Amount 0.375
[09:35:12] ROI_CREDIT: UID 664 | Inv 354 | Amount 5
[09:35:12] ROI_CREDIT: UID 714 | Inv 355 | Amount 5
[09:35:12] ROI_CREDIT: UID 713 | Inv 356 | Amount 5
[09:35:12] ROI_CREDIT: UID 699 | Inv 357 | Amount 5
[09:35:12] ROI_CREDIT: UID 736 | Inv 358 | Amount 5
[09:35:12] ROI_CREDIT: UID 737 | Inv 359 | Amount 5
[09:35:12] ROI_CREDIT: UID 739 | Inv 360 | Amount 5
[09:35:12] ROI_CREDIT: UID 740 | Inv 361 | Amount 5
[09:35:12] ROI_CREDIT: UID 741 | Inv 362 | Amount 5
[09:35:12] ROI_CREDIT: UID 735 | Inv 363 | Amount 3.33333333
[09:35:12] ROI_CREDIT: UID 743 | Inv 365 | Amount 0.375
[09:35:12] ROI_CREDIT: UID 526 | Inv 366 | Amount 5
[09:35:12] ROI_CREDIT: UID 467 | Inv 367 | Amount 5
[09:35:12] ROI_CREDIT: UID 357 | Inv 368 | Amount 5
[09:35:12] ROI_CREDIT: UID 756 | Inv 369 | Amount 5
[09:35:12] ROI_CREDIT: UID 735 | Inv 370 | Amount 4.33333333
[09:35:12] ROI_CREDIT: UID 768 | Inv 371 | Amount 5
[09:35:12] ROI_CREDIT: UID 742 | Inv 372 | Amount 5
[09:35:12] ROI_CREDIT: UID 757 | Inv 373 | Amount 5
[09:35:12] ROI_CREDIT: UID 765 | Inv 374 | Amount 5
[09:35:12] ROI_CREDIT: UID 761 | Inv 375 | Amount 5
[09:35:12] ROI_CREDIT: UID 762 | Inv 376 | Amount 5
[09:35:12] ROI_CREDIT: UID 763 | Inv 377 | Amount 5
[09:35:12] ROI_CREDIT: UID 766 | Inv 378 | Amount 5
[09:35:12] ROI_CREDIT: UID 778 | Inv 379 | Amount 0.5625
[09:35:12] ROI_CREDIT: UID 774 | Inv 380 | Amount 5
[09:35:12] ROI_CREDIT: UID 775 | Inv 381 | Amount 5
[09:35:12] ROI_CREDIT: UID 773 | Inv 382 | Amount 5
[09:35:12] ROI_CREDIT: UID 776 | Inv 383 | Amount 5
[09:35:12] ROI_CREDIT: UID 779 | Inv 384 | Amount 5
[09:35:12] ROI_CREDIT: UID 781 | Inv 385 | Amount 5
[09:35:12] ROI_CREDIT: UID 782 | Inv 386 | Amount 5
[09:35:12] ROI_CREDIT: UID 780 | Inv 387 | Amount 5
[09:35:12] ROI_CREDIT: UID 780 | Inv 388 | Amount 5
[09:35:12] ROI_CREDIT: UID 28 | Inv 389 | Amount 12.5
[09:35:12] ROI_CREDIT: UID 15 | Inv 390 | Amount 5
[09:35:12] ROI_CREDIT: UID 592 | Inv 391 | Amount 0.4125
[09:35:12] ROI_CREDIT: UID 772 | Inv 392 | Amount 5
[09:35:12] ROI_CREDIT: UID 17 | Inv 393 | Amount 5
[09:35:12] ROI_CREDIT: UID 754 | Inv 394 | Amount 12.5
[09:35:12] ROI_CREDIT: UID 788 | Inv 395 | Amount 5
[09:35:12] ROI_CREDIT: UID 789 | Inv 396 | Amount 5
[09:35:12] ROI_CREDIT: UID 790 | Inv 397 | Amount 5
[09:35:12] ROI_CREDIT: UID 791 | Inv 398 | Amount 5
[09:35:12] ROI_CREDIT: UID 803 | Inv 399 | Amount 12.5
[09:35:12] ROI_CREDIT: UID 806 | Inv 400 | Amount 5
[09:35:12] ROI_CREDIT: UID 807 | Inv 401 | Amount 5
[09:35:12] ROI_CREDIT: UID 804 | Inv 402 | Amount 5
[09:35:12] ROI_CREDIT: UID 805 | Inv 403 | Amount 5
[09:35:13] ROI_CREDIT: UID 808 | Inv 404 | Amount 5
[09:35:13] ROI_CREDIT: UID 809 | Inv 405 | Amount 5
[09:35:13] ROI_CREDIT: UID 820 | Inv 406 | Amount 2.25
[09:35:13] ROI_CREDIT: UID 547 | Inv 407 | Amount 0.375
[09:35:13] ROI_CREDIT: UID 601 | Inv 408 | Amount 0.405
[09:35:13] ROI_CREDIT: UID 17 | Inv 409 | Amount 0.375
[09:35:13] ROI_CREDIT: UID 810 | Inv 410 | Amount 12.5
[09:35:13] ROI_CREDIT: UID 825 | Inv 411 | Amount 12.5
[09:35:13] ROI_CREDIT: UID 837 | Inv 412 | Amount 5
[09:35:13] ROI_CREDIT: UID 620 | Inv 413 | Amount 1.5
[09:35:13] ROI_CREDIT: UID 794 | Inv 414 | Amount 5
[09:35:13] ROI_CREDIT: UID 617 | Inv 415 | Amount 5
[09:35:13] ROI_CREDIT: UID 611 | Inv 416 | Amount 5
[09:35:13] ROI_CREDIT: UID 826 | Inv 417 | Amount 5
[09:35:13] ROI_CREDIT: UID 827 | Inv 418 | Amount 5
[09:35:13] ROI_CREDIT: UID 829 | Inv 419 | Amount 5
[09:35:13] ROI_CREDIT: UID 830 | Inv 420 | Amount 5
[09:35:13] ROI_CREDIT: UID 842 | Inv 421 | Amount 5
[09:35:13] ROI_CREDIT: UID 569 | Inv 422 | Amount 2.4375
[09:35:13] ROI_CREDIT: UID 12 | Inv 423 | Amount 5.625
[09:35:13] ROI_CREDIT: UID 587 | Inv 424 | Amount 1.38
[09:35:13] ROI_CREDIT: UID 848 | Inv 425 | Amount 5
[09:35:13] ROI_CREDIT: UID 846 | Inv 426 | Amount 5
[09:35:13] ROI_CREDIT: UID 612 | Inv 427 | Amount 5
[09:35:13] ROI_CREDIT: UID 843 | Inv 428 | Amount 5
[09:35:13] ROI_CREDIT: UID 849 | Inv 429 | Amount 5
[09:35:13] ROI_CREDIT: UID 854 | Inv 430 | Amount 5
[09:35:13] ROI_CREDIT: UID 857 | Inv 431 | Amount 5
[09:35:13] ROI_CREDIT: UID 836 | Inv 432 | Amount 2.25
[09:35:13] ROI_CREDIT: UID 630 | Inv 433 | Amount 1.125
[09:35:13] ROI_CREDIT: UID 851 | Inv 434 | Amount 5
[09:35:13] ROI_CREDIT: UID 547 | Inv 435 | Amount 0.375
[09:35:13] ROI_CREDIT: UID 590 | Inv 436 | Amount 0.375
[09:35:13] ROI_CREDIT: UID 863 | Inv 437 | Amount 5
[09:35:13] ROI_CREDIT: UID 573 | Inv 438 | Amount 0.375
[09:35:13] ROI_CREDIT: UID 864 | Inv 439 | Amount 5
[09:35:13] ROI_CREDIT: UID 868 | Inv 440 | Amount 0.375
[09:35:13] ROI_CREDIT: UID 866 | Inv 441 | Amount 5
[09:35:13] ROI_CREDIT: UID 871 | Inv 442 | Amount 5
[09:35:13] ROI_CREDIT: UID 602 | Inv 443 | Amount 0.375
[09:35:13] ROI_CREDIT: UID 868 | Inv 444 | Amount 5
[09:35:13] ROI_CREDIT: UID 594 | Inv 445 | Amount 0.525
[09:35:13] ROI_CREDIT: UID 870 | Inv 446 | Amount 5
[09:35:13] ROI_CREDIT: UID 869 | Inv 447 | Amount 5
[09:35:13] ROI_CREDIT: UID 872 | Inv 448 | Amount 5
[09:35:13] ROI_CREDIT: UID 594 | Inv 449 | Amount 0.375
[09:35:13] ROI_CREDIT: UID 874 | Inv 450 | Amount 5
[09:35:13] ROI_CREDIT: UID 591 | Inv 451 | Amount 0.375
[09:35:13] ROI_CREDIT: UID 594 | Inv 453 | Amount 0.9975
[09:35:13] ROI_CREDIT: UID 592 | Inv 454 | Amount 0.3975
[09:35:13] ROI_CREDIT: UID 887 | Inv 455 | Amount 5
[09:35:13] ROI_CREDIT: UID 888 | Inv 456 | Amount 5
[09:35:13] ROI_CREDIT: UID 889 | Inv 457 | Amount 5
[09:35:13] ROI_CREDIT: UID 597 | Inv 458 | Amount 0.5775
[09:35:13] ROI_CREDIT: UID 894 | Inv 460 | Amount 5
[09:35:13] ROI_CREDIT: UID 875 | Inv 461 | Amount 5
[09:35:13] ROI_CREDIT: UID 896 | Inv 462 | Amount 5
[09:35:13] ROI_CREDIT: UID 878 | Inv 463 | Amount 5
[09:35:13] ROI_CREDIT: UID 873 | Inv 464 | Amount 5
[09:35:13] ROI_CREDIT: UID 902 | Inv 465 | Amount 5
[09:35:13] ROI_CREDIT: UID 877 | Inv 466 | Amount 5
[09:35:13] ROI_CREDIT: UID 901 | Inv 467 | Amount 5
[09:35:13] ROI_CREDIT: UID 903 | Inv 468 | Amount 5
[09:35:13] ROI_CREDIT: UID 735 | Inv 469 | Amount 3.33333333
[09:35:13] ROI_CREDIT: UID 898 | Inv 470 | Amount 5
[09:35:14] ROI_CREDIT: UID 897 | Inv 471 | Amount 5
[09:35:14] ROI_CREDIT: UID 899 | Inv 472 | Amount 5
[09:35:14] ROI_CREDIT: UID 899 | Inv 473 | Amount 5
[09:35:14] ROI_CREDIT: UID 906 | Inv 474 | Amount 5
[09:35:14] ROI_CREDIT: UID 905 | Inv 475 | Amount 5
[09:35:14] ROI_CREDIT: UID 847 | Inv 476 | Amount 0.375
[09:35:14] ROI_CREDIT: UID 926 | Inv 477 | Amount 5
[09:35:14] ROI_CREDIT: UID 904 | Inv 478 | Amount 5
[09:35:14] ROI_CREDIT: UID 868 | Inv 479 | Amount 0.375
[09:35:14] ROI_CREDIT: UID 735 | Inv 480 | Amount 1.695
[09:35:14] ROI_CREDIT: UID 620 | Inv 481 | Amount 0.375
[09:35:14] ROI_CREDIT: UID 932 | Inv 482 | Amount 0.375
[09:35:14] ROI_CREDIT: UID 936 | Inv 483 | Amount 3.33333333
[09:35:14] ROI_CREDIT: UID 939 | Inv 484 | Amount 0.75
[09:35:14] ROI_CREDIT: UID 925 | Inv 485 | Amount 0.375
[09:35:14] ROI_CREDIT: UID 856 | Inv 490 | Amount 0.75
